stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1485,N1485,L C Simon at Mandeville,LEON C SIMON DR & MANDEVILLE ST,30.025219,-90.058898,,,,,0
1486,N1486,L C Simon at St Roch,LEON C SIMON BLVD & ST ROCH AVE,30.025489,-90.056939,,,,,0
1487,N1487,L C Simon at Music,LEON C SIMON DR & MUSIC ST,30.025767,-90.055342,,,,,0
1492,N1492,Hayne at 6038 Hayne,HAYNE BLVD & LAMB RD,30.03343,-90.024354,,,,,0
1493,N1493,Hayne at 6240 Hayne,HAYNE BLVD & LAMB RD,30.033877,-90.022914,,,,,0
1494,N1494,Hayne at Lamb,LAMB RD & KUEBEL DR,30.034946,-90.01962,,,,,0
1495,N1495,Hayne at 6558 Hayne,HAYNE BLVD & CURTIS DR,30.03564,-90.01733,,,,,0
1496,N1496,Hayne at Martin,HAYNE BLVD & MARTIN DR,30.036234,-90.015423,,,,,0
1497,N1497,Hayne at Redfish,HAYNE BLVD & TARPON ST,30.036791,-90.013662,,,,,0
1498,N1498,Hayne at Danube,DANUBE RD & WALES ST,30.03741,-90.01216,,,,,0
1499,N1499,Hayne at Trout,HAYNE BLVD & TROUT RD,30.037939,-90.010751,,,,,0
1500,N1500,Hayne at Drum,DRUM ST & WALES ST,30.038441,-90.009249,,,,,0
1501,N1501,Hayne at Mayo,MAYO BLVD & WALES ST,30.038933,-90.00783,,,,,0
1502,N1502,Hayne at Pole 86,HAYNE BLVD & MAYO RD,30.039134,-90.007177,,,,,0
1503,N1503,Hayne at Edgelake,HAYNE BLVD & EDWARD ST,30.041038,-90.002267,,,,,0
1504,N1504,Hayne at Crowder,CROWDER BLVD & UNNAMED ST,30.041812,-90.000247,,,,,0
1505,N1505,Hayne at Gus,HAYNE BLVD & GUS ST,30.042513,-89.998673,,,,,0
1506,N1506,Hayne at Benson,HAYNE BLVD & GUS ST,30.043349,-89.996799,,,,,0
1507,N1507,Hayne at Burk,HAYNE BLVD & BURKE RD,30.044732,-89.993661,,,,,0
1508,N1508,Hayne at Vanderkloot,HAYNE BLVD & VANDERKLOOT AVE,30.045396,-89.992128,,,,,0
1509,N1509,Hayne at Trapier,HAYNE BLVD & TRAPIER AVE,30.04635,-89.990078,,,,,0
1510,N1510,Hayne at Nazareth Inn,HAYNE BLVD & TRAPIER AVE,30.047413,-89.987779,,,,,0
1511,N1511,Hayne at Weaver,HAYNE BLVD & SYMMES AVE,30.048058,-89.986474,,,,,0
1512,N1512,Hayne at Symmes,SYMMES AVE & HAYNE BLVD,30.048522,-89.98548,,,,,0
